index,cliente,latitud,longitud,fin_visita,order
26154,20,-34.5997195491352,-58.4025589786466,2024-05-30 17:03:11,280
24826,20,-34.5638359887361,-58.4595845440244,2024-05-30 17:04:23,281
1939,20,-34.5646379,-58.458445,2024-05-30 17:12:23,282
22823,20,-34.5983026563061,-58.4976961055122,2024-05-30 17:16:05,283
887,70,-34.5865156487309,-58.4916300594774,2024-05-30 17:19:00,284
16500,70,-34.5763165912253,-58.4777570227015,2024-05-30 17:19:00,285
8021,70,-34.5864011967188,-58.4848593072226,2024-05-30 17:19:00,286
25278,20,-34.6058253893829,-58.5115962177391,2024-05-30 17:21:00,287
11951,20,-34.612331,-58.51774,2024-05-30 17:21:00,288
11973,20,-34.611613,-58.500005,2024-05-30 17:21:00,289
14702,20,-34.61428,-58.498484,2024-05-30 17:21:00,290
1715,20,-34.611304,-58.517953,2024-05-30 17:21:00,291
26091,20,-34.6259768220783,-58.5224223589057,2024-05-30 17:21:00,292
2045,20,-34.6162845386722,-58.5219632741709,2024-05-30 17:21:00,293
17569,20,-34.6138793587933,-58.525072027642,2024-05-30 17:21:00,294
2121,20,-34.6315909672169,-58.5193094402355,2024-05-30 17:21:00,295
20832,20,-34.6282758167688,-58.5230060012162,2024-05-30 17:21:00,296
12008,20,-34.62788,-58.521839,2024-05-30 17:21:00,297
25111,20,-34.6346558936852,-58.5242416426184,2024-05-30 17:21:00,298
22113,20,-34.621284465754,-58.5177653794121,2024-05-30 17:21:00,299
14712,20,-34.641631,-58.520871,2024-05-30 17:21:00,300
14641,20,-34.640087,-58.524054,2024-05-30 17:21:00,301
14634,20,-34.611431,-58.490244,2024-05-30 17:21:00,302
1052,20,-34.6391105651856,-58.5227394104004,2024-05-30 17:21:00,303
1171,20,-34.638904,-58.528602,2024-05-30 17:21:00,304
23005,20,-34.6212445198043,-58.5081011865113,2024-05-30 17:21:00,305
16147,20,-34.613397,-58.493855,2024-05-30 17:21:00,306
20844,20,-34.6163665563837,-58.5133883387134,2024-05-30 17:21:00,307
1254,20,-34.623998,-58.521304,2024-05-30 17:21:00,308
16185,20,-34.642861,-58.52782,2024-05-30 17:21:00,309
23339,20,-34.6025043720714,-58.4909946287618,2024-05-30 17:21:00,310
23345,20,-34.6384451492546,-58.5275187651755,2024-05-30 17:21:00,311
1286,20,-34.60742,-58.518301,2024-05-30 17:21:00,312
14771,20,-34.6405734301228,-58.5289231319942,2024-05-30 17:21:00,313
1059,20,-34.622514,-58.527231,2024-05-30 17:21:00,314
16200,20,-34.6038591916634,-58.5014230030964,2024-05-30 17:21:00,315
12183,20,-34.612699157855,-58.5096156815575,2024-05-30 17:21:00,316
12210,20,-34.6134836234581,-58.525723419276,2024-05-30 17:21:00,317
12192,20,-34.6072021525524,-58.5053598896833,2024-05-30 17:21:00,318
4038,20,-34.4556099526288,-58.5097432049731,2024-05-30 17:22:00,319
2050,20,-34.4712142,-58.5135614,2024-05-30 17:22:00,320
17521,20,-34.4231002013647,-58.5808320345677,2024-05-30 17:22:00,321
25762,20,-34.4700222901,-58.5455813168764,2024-05-30 17:22:00,322
16464,20,-34.4340713870194,-58.5648127043355,2024-05-30 17:22:00,323
20382,20,-34.4458898970718,-58.5490449530428,2024-05-30 17:22:00,324
25766,20,-34.4639509896436,-58.6126801371574,2024-05-30 17:22:00,325
26760,20,-34.5958760253442,-58.4029328925752,2024-05-30 17:25:11,326
22681,20,-34.5911639103288,-58.5100612567766,2024-05-30 17:28:50,327
25536,20,-34.5903664977566,-58.5047632643742,2024-05-30 17:32:50,328
19211,20,-34.5923146388301,-58.4027635423534,2024-05-30 17:35:11,329
22084,20,-34.598152,-58.408695,2024-05-30 17:42:11,330
25705,20,-34.5573473691913,-58.4505784996447,2024-05-30 17:50:02,331
10783,20,-34.600933,-58.40911,2024-05-30 17:53:11,332
2060,20,-34.584228515625,-58.5043296813965,2024-05-30 17:59:38,333
24555,20,-34.5825909907586,-58.49326608399,2024-05-30 18:08:38,334
9854,20,-34.5892786,-58.4130058,2024-05-30 18:09:11,335
21998,20,-34.5460380605923,-58.4598927887363,2024-05-30 18:13:02,336
12136,20,-34.5880294470726,-58.4270786073895,2024-05-30 18:19:11,337
26081,20,-34.5584372578144,-58.4618829385449,2024-05-30 18:27:00,338
19078,20,-34.5887352138532,-58.4738866045949,2024-05-30 18:33:00,339
22615,20,-34.5975685421064,-58.4982408127889,2024-05-30 18:33:00,340
14682,20,-34.5932055014332,-58.4825000086133,2024-05-30 18:33:00,341
12093,20,-34.5986463074604,-58.4908561728481,2024-05-30 18:33:00,342
14649,20,-34.568812,-58.477136,2024-05-30 18:33:00,343
17965,20,-34.605884,-58.425633,2024-05-30 18:41:11,344
23676,20,-34.6080521326512,-58.4374536472316,2024-05-30 18:53:11,345
